CountryName,Date,C1_School closing,C2_Workplace closing,C6_Stay at home requirements,H6_Facial Coverings
United States,20200212,0.0,0.0,0.0,0.0
United States,20200213,0.0,0.0,0.0,0.0
United States,20200214,0.0,0.0,0.0,0.0
United States,20200215,0.0,0.0,0.0,0.0
United States,20200216,0.0,0.0,0.0,0.0
United States,20200217,0.0,0.0,0.0,0.0
United States,20200218,0.0,0.0,0.0,0.0
United States,20200219,0.0,0.0,0.0,0.0
United States,20200220,0.0,0.0,0.0,0.0
United States,20200221,0.0,0.0,0.0,0.0
United States,20200222,0.0,0.0,0.0,0.0
United States,20200223,0.0,0.0,0.0,0.0
United States,20200224,0.0,0.0,0.0,0.0
United States,20200225,0.0,0.0,0.0,0.0
United States,20200226,0.0,0.0,0.0,0.0
United States,20200227,0.0,0.0,0.0,0.0
United States,20200228,0.0,0.0,0.0,0.0
United States,20200229,0.0,0.0,0.0,0.0
United States,20200301,0.0,0.0,0.0,0.0
United States,20200302,0.0,0.0,0.0,0.0
United States,20200303,0.0,0.0,0.0,0.0
United States,20200304,0.0,0.0,0.0,0.0
United States,20200305,0.0,0.0,0.0,0.0
United States,20200306,0.0,0.0,0.0,0.0
United States,20200307,0.0,0.0,0.0,0.0
United States,20200308,0.0,0.0,0.0,0.0
United States,20200309,0.0,1.0,1.0,0.0
United States,20200310,0.0,1.0,1.0,0.0
United States,20200311,0.0,1.0,1.0,0.0
United States,20200312,2.0,2.0,1.0,0.0
United States,20200313,2.0,2.0,1.0,0.0
United States,20200314,2.0,2.0,1.0,0.0
United States,20200315,2.0,2.0,1.0,0.0
United States,20200316,2.0,2.0,1.0,0.0
United States,20200317,2.0,2.0,1.0,0.0
United States,20200318,2.0,2.0,1.0,0.0
United States,20200319,2.0,2.0,1.0,0.0
United States,20200320,2.0,2.0,1.0,0.0
United States,20200321,2.0,2.0,1.0,0.0
United States,20200322,2.0,3.0,2.0,0.0
United States,20200323,3.0,3.0,2.0,0.0
United States,20200324,3.0,3.0,2.0,0.0
United States,20200325,3.0,3.0,2.0,0.0
United States,20200326,3.0,3.0,2.0,0.0
United States,20200327,3.0,3.0,2.0,0.0
United States,20200328,3.0,3.0,2.0,0.0
United States,20200329,3.0,3.0,2.0,0.0
United States,20200330,3.0,3.0,2.0,0.0
United States,20200331,3.0,3.0,2.0,0.0
United States,20200401,3.0,3.0,2.0,1.0
United States,20200402,3.0,3.0,2.0,1.0
United States,20200403,3.0,3.0,2.0,1.0
United States,20200404,3.0,3.0,2.0,1.0
United States,20200405,3.0,3.0,2.0,1.0
United States,20200406,3.0,3.0,2.0,1.0
United States,20200407,3.0,3.0,2.0,1.0
United States,20200408,3.0,3.0,2.0,1.0
United States,20200409,3.0,3.0,2.0,1.0
United States,20200410,3.0,3.0,2.0,1.0
United States,20200411,3.0,3.0,2.0,1.0
United States,20200412,3.0,3.0,2.0,1.0
United States,20200413,3.0,3.0,2.0,1.0
United States,20200414,3.0,3.0,2.0,1.0
